Category: All categories

Month,Soccer: (United States),American football: (United States)
2004-01,14,9
2004-02,13,6
2004-03,15,5
2004-04,15,5
2004-05,16,5
2004-06,16,5
2004-07,16,9
2004-08,22,20
2004-09,28,35
2004-10,24,28
2004-11,22,23
2004-12,15,15
2005-01,14,11
2005-02,14,7
2005-03,14,5
2005-04,16,6
2005-05,16,6
2005-06,15,7
2005-07,15,10
2005-08,23,22
2005-09,28,38
2005-10,26,33
2005-11,23,27
2005-12,16,16
2006-01,15,13
2006-02,14,7
2006-03,14,5
2006-04,16,6
2006-05,20,7
2006-06,38,7
2006-07,22,11
2006-08,23,25
2006-09,30,46
2006-10,27,34
2006-11,23,32
2006-12,16,18
2007-01,14,13
2007-02,14,8
2007-03,13,6
2007-04,14,6
2007-05,16,6
2007-06,16,7
2007-07,16,11
2007-08,24,25
2007-09,32,52
2007-10,25,38
2007-11,25,32
2007-12,17,19
2008-01,14,12
2008-02,14,7
2008-03,14,6
2008-04,15,7
2008-05,17,6
2008-06,19,7
2008-07,15,11
2008-08,25,28
2008-09,27,42
2008-10,25,34
2008-11,23,35
2008-12,17,19
2009-01,15,12
2009-02,15,8
2009-03,16,6
2009-04,16,7
2009-05,18,6
2009-06,18,7
2009-07,16,10
2009-08,23,23
2009-09,31,50
2009-10,28,37
2009-11,28,36
2009-12,18,21
2010-01,17,14
2010-02,16,7
2010-03,16,6
2010-04,17,7
2010-05,21,6
2010-06,36,7
2010-07,23,9
2010-08,24,23
2010-09,31,50
2010-10,29,42
2010-11,26,37
2010-12,19,20
2011-01,15,17
2011-02,14,9
2011-03,14,7
2011-04,14,7
2011-05,15,6
2011-06,16,7
2011-07,21,11
2011-08,23,28
2011-09,32,60
2011-10,29,50
2011-11,26,46
2011-12,17,26
2012-01,16,18
2012-02,15,10
2012-03,14,7
2012-04,16,8
2012-05,16,7
2012-06,19,8
2012-07,17,12
2012-08,26,30
2012-09,32,64
2012-10,27,48
2012-11,24,47
2012-12,18,23
2013-01,16,17
2013-02,15,9
2013-03,15,6
2013-04,16,7
2013-05,17,7
2013-06,17,7
2013-07,16,12
2013-08,24,36
2013-09,34,65
2013-10,27,48
2013-11,27,51
2013-12,19,29
2014-01,17,18
2014-02,15,8
2014-03,15,6
2014-04,17,7
2014-05,19,7
2014-06,40,8
2014-07,27,12
2014-08,25,39
2014-09,34,65
2014-10,30,53
2014-11,28,58
2014-12,19,33
2015-01,18,21
2015-02,16,9
2015-03,17,7
2015-04,17,7
2015-05,17,7
2015-06,20,8
2015-07,19,12
2015-08,24,31
2015-09,34,80
2015-10,33,68
2015-11,29,62
2015-12,19,31
2016-01,18,22
2016-02,17,11
2016-03,15,8
2016-04,16,8
2016-05,16,8
2016-06,22,9
2016-07,15,12
2016-08,27,30
2016-09,35,89
2016-10,31,76
2016-11,27,67
2016-12,17,36
2017-01,16,22
2017-02,14,10
2017-03,14,7
2017-04,14,8
2017-05,14,8
2017-06,15,9
2017-07,14,13
2017-08,22,33
2017-09,34,90
2017-10,32,76
2017-11,26,72
2017-12,17,41
2018-01,16,23
2018-02,13,10
2018-03,13,8
2018-04,13,9
2018-05,14,8
2018-06,24,9
2018-07,25,13
2018-08,24,35
2018-09,36,100
2018-10,29,77
2018-11,28,72
2018-12,17,41
2019-01,16,23
2019-02,14,12
2019-03,13,8
2019-04,13,9
2019-05,14,8
2019-06,22,9
2019-07,21,13
2019-08,23,43
2019-09,35,95
2019-10,29,72
2019-11,29,76
2019-12,18,47
2020-01,14,22
2020-02,14,11
2020-03,9,6
2020-04,7,7
2020-05,7,7
2020-06,7,7
2020-07,9,9
2020-08,12,14
2020-09,18,38
2020-10,19,49
2020-11,16,49
2020-12,13,41
2021-01,14,25
2021-02,11,10
2021-03,12,9
2021-04,13,9
2021-05,12,9
2021-06,15,8
2021-07,18,10
2021-08,21,25
2021-09,31,92
2021-10,32,88
2021-11,29,81
2021-12,17,52
2022-01,19,31
2022-02,14,12
2022-03,14,8
2022-04,14,10
2022-05,13,8
2022-06,13,9
2022-07,13,13
2022-08,24,32
2022-09,35,98
2022-10,33,87
2022-11,40,81
2022-12,31,46
2023-01,21,28
2023-02,16,12
